buffer,delay,repeticao,throughput_mbps
208K,10,5,92581072.0
208K,100,4,34676198.0
64K,100,4,38210079.0
64K,10,4,83845741.0
208K,10,2,92951407.0
64K,10,6,40902217.0
208K,10,4,92613228.0
208K,100,8,48699122.0
208K,10,3,83026974.0
64K,10,2,56439336.0
64K,100,6,35979878.0
64K,10,5,48668391.0
208K,100,5,42757124.0
64K,100,8,30953384.0
208K,10,1,92617625.0
208K,100,6,49222077.0
64K,10,3,82940836.0
208K,100,3,46733869.0
64K,10,7,83889754.0
64K,100,3,35659534.0
64K,10,1,81454096.0
208K,10,7,93085196.0
64K,100,1,35944766.0
208K,10,8,92980832.0
208K,100,7,41602232.0
208K,10,6,93140429.0
64K,100,5,36192423.0
208K,100,1,46258043.0
64K,100,2,37225034.0
64K,10,8,43176628.0
208K,100,2,38477920.0
64K,100,7,33708338.0
